"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 23:18:15 CST 2023","Tue Nov 21 23:18:21 CST 2023","6405","testcase","test_device_category","TestDeviceCategory","","","编辑仪器分类","
        仪器分类编辑
        :param login:fixture函数，返回driver对象
        :param test_info:仪器分类基本信息编辑，字典
        :return:
        "
"passed","Tue Nov 21 23:18:14 CST 2023","Tue Nov 21 23:18:15 CST 2023","600","testcase","test_device_category","TestDeviceCategory","","","查询仪器分类","
        通过仪器名称，查询仪器分类信息（模糊匹配）,并重置
        :param login: fixture函数，返回driver对象
        :param test_info: 仪器分类名称
        :return:
        "
"broken","Tue Nov 21 23:18:21 CST 2023","Tue Nov 21 23:18:46 CST 2023","24142","testcase","test_device_category","TestDeviceCategory","","","删除仪器分类","
        仪器分类删除
        :param login:fixture函数，返回driver对象
        :return:
        "
"passed","Tue Nov 21 23:18:09 CST 2023","Tue Nov 21 23:18:14 CST 2023","4705","testcase","test_device_category","TestDeviceCategory","","","新增仪器分类","
        新增仪器分类信息
        :param login:fixture函数，返回driver对象
        :param test_info: 仪器分类基本信息参数，字典
        :return:
        "
